state,value
Alaska,1.61
Alabama,1.49
Arkansas,1.405
Arizona,1.67
California,1.795
Colorado,1.75
Connecticut,1.63
Delaware,1.71
District of Columbia,1.635
Florida,1.685
Georgia,1.655
Hawaii,1.58
Iowa,0
Idaho,0
Illinois,1.695
Indiana,2.07
Kansas,1.6
Kentucky,1.57
Louisiana,1.53
Massachusetts,1.69
Maryland,1.715
Maine,0
Michigan,1.535
Minnesota,1.77
Missouri,1.67
Mississippi,0
Montana,1.68
North Carolina,1.35
North Dakota,0
Nebraska,2.885
New Hampshire,1.775
New Jersey,1.82
New Mexico,1.64
Nevada,1.56
New York,1.785
Ohio,1.665
Oklahoma,1.51
Oregon,1.735
Pennsylvania,1.77
Rhode Island,1.65
South Carolina,1.615
South Dakota,1.49
Tennessee,0
Texas,1.705
Utah,1.62
Virginia,1.72
Vermont,1.63
Washington,1.665
Wisconsin,1.695
West Virginia,1.515
Wyoming,1.7
